
  Group   Upper      Critical   Inf.Med.   Critical   Inf.Med.  
   No    Energy(eV)   Flux       Flux      Adj.Flux   Adj.Flux  

   228  5.0000E-03  5.851E-05  5.851E-05  8.579E-04  8.579E-04
   229  4.0000E-03  3.639E-05  3.639E-05  6.643E-04  6.643E-04
   230  3.0000E-03  2.314E-05  2.314E-05  1.046E-03  1.046E-03
   231  2.5000E-03  1.575E-05  1.575E-05  8.539E-04  8.539E-04
   232  2.0000E-03  9.694E-06  9.694E-06  6.613E-04  6.613E-04
   233  1.5000E-03  5.898E-06  5.898E-06  8.512E-04  8.512E-04
   234  1.2000E-03  3.974E-06  3.974E-06  1.041E-03  1.041E-03
   235  1.0000E-03  2.538E-06  2.538E-06  6.586E-04  6.586E-04
   236  7.5000E-04  1.313E-06  1.313E-06  4.665E-04  4.665E-04
   237  5.0000E-04  2.623E-07  2.623E-07  1.171E-04  1.171E-04
   238  1.0000E-04  6.989E-09  6.989E-09  8.152E-05  8.152E-05

 NOTE: Flux values above are per unit-lethargy.




  Collapsing cross-sections to specified 24-group format
 ******************************************************

  Creating library entitled: Cell-weighted cross-sections                                                                        


  Broad Group Parameters

  Group      Upper        Upper         Mid         Mid     Inv. Velocity   Fission
   No.    Energy (eV)   Lethargy    Energy (eV)   Lethargy      (s/cm)      Spectrum
     1    2.0000E+07  -6.9315E-01   0.0000E+00   7.4947E-02   3.0460E-10   8.8555E-02
     2    4.3040E+06   8.4304E-01   0.0000E+00   1.4817E+00   4.9828E-10   5.4360E-01
     3    1.2000E+06   2.1203E+00   0.0000E+00   2.4117E+00   7.7255E-10   1.8160E-01
     4    6.7000E+05   2.7031E+00   0.0000E+00   3.1575E+00   1.0995E-09   1.3223E-01
     5    2.7000E+05   3.6119E+00   0.0000E+00   4.4355E+00   2.0600E-09   4.9106E-02
     6    5.2000E+04   5.2591E+00   0.0000E+00   6.5542E+00   6.2861E-09   4.8123E-03
     7    3.9000E+03   7.8494E+00   0.0000E+00   8.5555E+00   1.6731E-08   9.0532E-05
     8    9.5000E+02   9.2616E+00   0.0000E+00   1.0077E+01   3.5924E-08   2.0342E-06
     9    1.8600E+02   1.0892E+01   0.0000E+00   1.1367E+01   6.7460E-08   1.5365E-08
    10    7.2000E+01   1.1841E+01   0.0000E+00   1.2055E+01   9.4800E-08   1.2185E-09
    11    4.7000E+01   1.2268E+01   0.0000E+00   1.2421E+01   1.1304E-07   0.0000E+00
    12    3.4600E+01   1.2574E+01   0.0000E+00   1.2848E+01   1.4016E-07   0.0000E+00
    13    2.0000E+01   1.3122E+01   0.0000E+00   1.3399E+01   1.8596E-07   0.0000E+00
    14    1.1500E+01   1.3676E+01   0.0000E+00   1.4054E+01   2.5463E-07   0.0000E+00
    15    5.4000E+00   1.4432E+01   0.0000E+00   1.4748E+01   3.6675E-07   0.0000E+00
    16    2.8700E+00   1.5064E+01   0.0000E+00   1.5260E+01   4.7025E-07   0.0000E+00
    17    1.9400E+00   1.5455E+01   0.0000E+00   1.5675E+01   5.7939E-07   0.0000E+00
    18    1.2500E+00   1.5895E+01   0.0000E+00   1.5963E+01   6.6766E-07   0.0000E+00
    19    1.0900E+00   1.6032E+01   0.0000E+00   1.6088E+01   7.1090E-07   0.0000E+00
    20    9.7500E-01   1.6143E+01   0.0000E+00   1.6386E+01   8.2758E-07   0.0000E+00
    21    6.0000E-01   1.6629E+01   0.0000E+00   1.7067E+01   1.1654E-06   0.0000E+00
    22    2.5000E-01   1.7504E+01   0.0000E+00   1.8218E+01   2.1434E-06   0.0000E+00
    23    6.0000E-02   1.8932E+01   0.0000E+00   2.0521E+01   4.3929E-06   0.0000E+00
    24    2.5000E-03   2.2110E+01   0.0000E+00   2.4870E+01   1.9522E-05   0.0000E+00
    25    1.0000E-05   2.7631E+01


  Cell Averaged Fluxes

  Mixture  Group  1      Group  2      Group  3      Group  4      Group  5      Group  6      Group  7      Group  8

     0    0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
     1    5.60422E-01   3.61987E+00   1.88206E+00   2.37807E+00   2.55813E+00   2.37516E+00   1.11001E+00   1.17465E+00
     2    5.33681E-01   3.48363E+00   1.82392E+00   2.31489E+00   2.51876E+00   2.37946E+00   1.12000E+00   1.19376E+00
     3    5.44799E-01   3.50948E+00   1.81090E+00   2.29059E+00   2.50062E+00   2.38407E+00   1.12604E+00   1.20644E+00
  Total   5.50124E-01   3.55154E+00   1.84051E+00   2.32769E+00   2.52519E+00   2.38011E+00   1.11911E+00   1.19263E+00


  Mixture  Group  9      Group 10      Group 11      Group 12      Group 13      Group 14      Group 15      Group 16

     0    0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
     1    6.20189E-01   2.56190E-01   1.58677E-01   2.81191E-01   2.83604E-01   3.18954E-01   2.80466E-01   1.90750E-01
     2    6.36214E-01   2.65864E-01   1.72745E-01   2.99232E-01   2.94647E-01   3.49613E-01   2.90240E-01   1.92853E-01
     3    6.45867E-01   2.71366E-01   1.79774E-01   3.09262E-01   3.01101E-01   3.65484E-01   2.95372E-01   1.93946E-01
  Total   6.34765E-01   2.64822E-01   1.70729E-01   2.97170E-01   2.93547E-01   3.45503E-01   2.88967E-01   1.92573E-01


  Mixture  Group 17      Group 18      Group 19      Group 20      Group 21      Group 22      Group 23      Group 24

     0    0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
     1    2.16447E-01   6.17343E-02   5.03598E-02   2.28444E-01   3.77175E-01   6.39090E-01   3.43845E-01   7.24949E-04
     2    2.18786E-01   6.39833E-02   5.20823E-02   2.34608E-01   3.99380E-01   7.12478E-01   4.38669E-01   1.92449E-03
     3    2.20036E-01   6.54316E-02   5.32162E-02   2.38479E-01   4.13950E-01   7.68571E-01   5.24184E-01   3.05116E-03
  Total   2.18493E-01   6.38281E-02   5.19762E-02   2.34132E-01   3.97988E-01   7.11966E-01   4.44724E-01   2.02421E-03



  Flux Disadvantage Factors (material/total flux)

  Mixture  Group  1      Group  2      Group  3      Group  4      Group  5      Group  6      Group  7      Group  8

     0    0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
     1    1.01872E+00   1.01924E+00   1.02257E+00   1.02164E+00   1.01304E+00   9.97918E-01   9.91869E-01   9.84920E-01
     2    9.70110E-01   9.80879E-01   9.90984E-01   9.94502E-01   9.97451E-01   9.99727E-01   1.00080E+00   1.00095E+00
     3    9.90321E-01   9.88157E-01   9.83912E-01   9.84062E-01   9.90270E-01   1.00166E+00   1.00620E+00   1.01158E+00
  Total   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00


  Mixture  Group  9      Group 10      Group 11      Group 12      Group 13      Group 14      Group 15      Group 16

     0    0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
     1    9.77037E-01   9.67407E-01   9.29412E-01   9.46230E-01   9.66128E-01   9.23157E-01   9.70581E-01   9.90530E-01
     2    1.00228E+00   1.00393E+00   1.01181E+00   1.00694E+00   1.00375E+00   1.01189E+00   1.00441E+00   1.00145E+00
     3    1.01749E+00   1.02471E+00   1.05298E+00   1.04069E+00   1.02574E+00   1.05783E+00   1.02216E+00   1.00713E+00
  Total   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00


  Mixture  Group 17      Group 18      Group 19      Group 20      Group 21      Group 22      Group 23      Group 24

     0    0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
     1    9.90637E-01   9.67195E-01   9.68901E-01   9.75705E-01   9.47704E-01   8.97641E-01   7.73166E-01   3.58140E-01
     2    1.00134E+00   1.00243E+00   1.00204E+00   1.00203E+00   1.00350E+00   1.00072E+00   9.86386E-01   9.50739E-01
     3    1.00706E+00   1.02512E+00   1.02386E+00   1.01857E+00   1.04011E+00   1.07951E+00   1.17867E+00   1.50734E+00
  Total   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00   1.00000E+00



1Flux weighted cross-sections for homogenized regions
 ****************************************************

 Cell No.  1: fuel                                                                    

 k-infinity for region 500 using flux weighted cross-sections =       0.84698248

    Group     Total          Transport      Absorption     Total-Scatter  Nu*Fission                                                                                         Kappa*Fission  Fission        Flux
----------------------------------------------------------------------------------------------------------------------------------
      1        2.45962E-01    1.38403E-01    2.02764E-02    1.60402E-02    5.45241E-02    5.32455E-13    1.68121E-02    5.60422E-01
      2        2.76497E-01    1.88769E-01    1.31892E-02    1.31892E-02    3.21000E-02    3.77702E-13    1.19375E-02    3.61987E+00
      3        3.50755E-01    2.75481E-01    4.77071E-03    4.77072E-03    4.65548E-03    5.74309E-14    1.84439E-03    1.88206E+00
      4        4.47908E-01    3.30797E-01    4.34993E-03    4.34992E-03    3.76422E-03    4.71515E-14    1.51766E-03    2.37807E+00
      5        4.60083E-01    4.23065E-01    6.15630E-03    6.15629E-03    4.52000E-03    5.73947E-14    1.84639E-03    2.55813E+00
